Date,Open,Stock
2021-03-10,3098.449951,AMZN
2021-03-11,3104.01001,AMZN
2021-03-12,3075.0,AMZN
2021-03-15,3074.570068,AMZN
2021-03-16,3104.969971,AMZN
2021-03-17,3073.219971,AMZN
2021-03-18,3101.0,AMZN
2021-03-19,3029.22998,AMZN
2021-03-22,3067.850098,AMZN
2021-03-23,3127.0,AMZN
2021-03-24,3151.040039,AMZN
2021-03-25,3072.98999,AMZN
2021-03-26,3044.060059,AMZN
2021-03-29,3055.439941,AMZN
2021-03-30,3070.01001,AMZN
2021-03-31,3064.060059,AMZN
2021-04-01,3117.939941,AMZN
2021-04-05,3173.0,AMZN
2021-04-06,3223.75,AMZN
2021-04-07,3233.800049,AMZN
2021-04-08,3310.899902,AMZN
2021-04-09,3304.699951,AMZN
2021-04-12,3355.209961,AMZN
2021-04-13,3400.850098,AMZN
2021-04-14,3404.040039,AMZN
2021-04-15,3371.0,AMZN
2021-04-16,3380.0,AMZN
2021-04-19,3390.330078,AMZN
2021-04-20,3373.600098,AMZN
2021-04-21,3316.0,AMZN
2021-01-04,226.5,BABA
2021-01-05,229.050003,BABA
2021-01-06,234.949997,BABA
2021-01-07,229.309998,BABA
2021-01-08,227.880005,BABA
2021-01-11,229.899994,BABA
2021-01-12,228.384995,BABA
2021-01-13,229.940002,BABA
2021-01-14,245.309998,BABA
2021-01-15,246.25,BABA
2021-01-19,250.0,BABA
2021-01-20,267.5,BABA
2021-01-21,264.130005,BABA
2021-01-22,256.799988,BABA
2021-01-25,263.619995,BABA
2021-01-26,263.799988,BABA
2021-01-27,265.130005,BABA
2021-01-28,259.170013,BABA
2021-01-29,256.029999,BABA
2021-02-01,258.799988,BABA
2021-02-02,264.570007,BABA
2021-02-03,264.700012,BABA
2021-02-04,269.579987,BABA
2021-02-05,264.609985,BABA
2021-02-08,264.980011,BABA
2021-02-09,263.0,BABA
2021-02-10,268.700012,BABA
2021-02-11,268.75,BABA
2021-02-12,269.089996,BABA
2021-02-16,271.0,BABA
2021-02-17,270.890015,BABA
2021-02-18,265.230011,BABA
2021-02-19,266.049988,BABA
2021-02-22,257.98999,BABA
2021-02-23,247.309998,BABA
2021-02-24,252.0,BABA
2021-02-25,250.0,BABA
2021-02-26,244.630005,BABA
2021-03-01,241.050003,BABA
2021-03-02,238.789993,BABA
2021-03-03,237.5,BABA
2021-03-04,235.0,BABA
2021-03-05,235.419998,BABA
2021-03-08,229.020004,BABA
2021-03-09,233.380005,BABA
2021-03-10,241.0,BABA
2021-03-11,237.199997,BABA
2021-03-12,233.695007,BABA
2021-03-15,228.410004,BABA
2021-03-16,228.070007,BABA
2021-03-17,226.5,BABA
2021-03-18,238.559998,BABA
2021-03-19,239.660004,BABA
2021-03-22,235.854996,BABA
2021-03-23,237.300003,BABA
2021-03-24,236.830002,BABA
2021-03-25,225.0,BABA
2021-03-26,222.0,BABA
2021-03-29,225.490005,BABA
2021-03-30,229.270004,BABA
2021-03-31,229.889999,BABA
2021-04-01,230.679993,BABA
2021-04-05,226.529999,BABA
2021-04-06,226.029999,BABA
2021-04-07,226.110001,BABA
2021-04-08,228.5,BABA
2021-04-09,224.850006,BABA
2021-04-12,237.889999,BABA
2021-04-13,243.660004,BABA
2021-04-14,244.369995,BABA
2021-04-15,240.0,BABA
2021-04-16,241.889999,BABA
2021-04-19,237.440002,BABA
2021-04-20,232.869995,BABA
2021-04-21,229.330002,BABA
2021-01-04,274.779999,FB
2021-01-05,268.290009,FB
2021-01-06,262.0,FB
2021-01-07,265.899994,FB
2021-01-08,268.309998,FB
2021-01-11,260.480011,FB
2021-01-12,256.630005,FB
2021-01-13,251.550003,FB
2021-01-14,253.399994,FB
2021-01-15,247.899994,FB
2021-01-19,256.899994,FB
2021-01-20,268.929993,FB
2021-01-21,269.26001,FB
2021-01-22,272.01001,FB
2021-01-25,278.140015,FB
2021-01-26,278.140015,FB
2021-01-27,282.529999,FB
2021-01-28,277.179993,FB
2021-01-29,265.299988,FB
2021-02-01,259.519989,FB
2021-02-02,264.0,FB
2021-02-03,265.619995,FB
2021-02-04,267.01001,FB
2021-02-05,266.799988,FB
2021-02-08,268.75,FB
2021-02-09,266.440002,FB
2021-02-10,272.450012,FB
2021-02-11,271.890015,FB
2021-02-12,270.519989,FB
2021-02-16,270.799988,FB
2021-02-17,271.23999,FB
2021-02-18,269.570007,FB
2021-02-19,269.859985,FB
2021-02-22,257.950012,FB
2021-02-23,259.5,FB
2021-02-24,262.329987,FB
2021-02-25,262.299988,FB
2021-02-26,256.470001,FB
2021-03-01,260.820007,FB
2021-03-02,265.779999,FB
2021-03-03,260.290009,FB
2021-03-04,256.470001,FB
2021-03-05,260.670013,FB
2021-03-08,265.549988,FB
2021-03-09,261.179993,FB
2021-03-10,268.640015,FB
2021-03-11,268.109985,FB
2021-03-12,269.140015,FB
2021-03-15,269.079987,FB
2021-03-16,276.079987,FB
2021-03-17,275.709991,FB
2021-03-18,279.869995,FB
2021-03-19,281.220001,FB
2021-03-22,290.450012,FB
2021-03-23,293.149994,FB
2021-03-24,291.0,FB
2021-03-25,280.980011,FB
2021-03-26,278.299988,FB
2021-03-29,285.769989,FB
2021-03-30,289.829987,FB
2021-03-31,289.98999,FB
2021-04-01,298.399994,FB
2021-04-05,300.890015,FB
2021-04-06,308.839996,FB
2021-04-07,306.339996,FB
2021-04-08,314.850006,FB
2021-04-09,311.399994,FB
2021-04-12,311.049988,FB
2021-04-13,312.209991,FB
2021-04-14,307.299988,FB
2021-04-15,306.339996,FB
2021-04-16,308.170013,FB
2021-04-19,305.01001,FB
2021-04-20,301.98999,FB
2021-04-21,301.950012,FB
2021-01-04,1757.540039,GOOG
2021-01-05,1725.0,GOOG
2021-01-06,1702.630005,GOOG
2021-01-07,1740.060059,GOOG
2021-01-08,1787.97998,GOOG
2021-01-11,1786.069946,GOOG
2021-01-12,1753.920044,GOOG
2021-01-13,1738.579956,GOOG
2021-01-14,1753.619995,GOOG
2021-01-15,1738.189941,GOOG
2021-01-19,1752.25,GOOG
2021-01-20,1831.459961,GOOG
2021-01-21,1898.0,GOOG
2021-01-22,1895.680054,GOOG
2021-01-25,1920.670044,GOOG
2021-01-26,1888.839966,GOOG
2021-01-27,1882.530029,GOOG
2021-01-28,1843.939941,GOOG
2021-01-29,1846.170044,GOOG
2021-02-01,1853.569946,GOOG
2021-02-02,1922.560059,GOOG
2021-02-03,2073.0,GOOG
2021-02-04,2068.889893,GOOG
2021-02-05,2070.0,GOOG
2021-02-08,2105.909912,GOOG
2021-02-09,2078.540039,GOOG
2021-02-10,2094.209961,GOOG
2021-02-11,2099.51001,GOOG
2021-02-12,2090.25,GOOG
2021-02-16,2104.360107,GOOG
2021-02-17,2100.0,GOOG
2021-02-18,2110.389893,GOOG
2021-02-19,2119.27002,GOOG
2021-02-22,2067.0,GOOG
2021-02-23,2025.01001,GOOG
2021-02-24,2041.829956,GOOG
2021-02-25,2067.449951,GOOG
2021-02-26,2050.52002,GOOG
2021-03-01,2056.52002,GOOG
2021-03-02,2076.189941,GOOG
2021-03-03,2067.209961,GOOG
2021-03-04,2023.369995,GOOG
2021-03-05,2073.120117,GOOG
2021-03-08,2101.129883,GOOG
2021-03-09,2070.0,GOOG
2021-03-10,2071.76001,GOOG
2021-03-11,2074.060059,GOOG
2021-03-12,2085.0,GOOG
2021-03-15,2062.300049,GOOG
2021-03-16,2078.98999,GOOG
2021-03-17,2076.030029,GOOG
2021-03-18,2061.0,GOOG
2021-03-19,2042.050049,GOOG
